# ----------------------------------------
# 1 Master View
# User Explorer
# 20180601-20180926
# ----------------------------------------

Client Id,Sessions,Avg. Session Duration,Bounce Rate,Revenue,Transactions,Goal Conversion Rate
278016100.1537517839,3,00:00:00,100.00%,$0.00,0,0.00%
279713493.1531542143,3,00:00:05,66.67%,$0.00,0,0.00%
280519321.1533419112,3,00:00:54,66.67%,$0.00,0,0.00%
281014432.1525775351,3,00:02:39,66.67%,$0.00,0,0.00%
28315046.1526610943,3,00:00:09,66.67%,$0.00,0,0.00%
283176483.1533002749,3,00:00:23,66.67%,$0.00,0,0.00%
283386372.1533207132,3,00:00:22,66.67%,$0.00,0,33.33%
284967152.1535148686,3,00:00:57,66.67%,$0.00,0,33.33%
285080923.1528307146,3,00:00:00,100.00%,$0.00,0,0.00%
285159091.1525146449,3,00:09:05,66.67%,$0.00,0,0.00%
286093405.1533869893,3,00:00:15,66.67%,$0.00,0,0.00%
286217075.1537138724,3,00:01:18,66.67%,$0.00,0,0.00%
287371326.1530492603,3,00:00:00,100.00%,$0.00,0,0.00%
287518015.1530587756,3,00:00:00,100.00%,$0.00,0,0.00%
287720925.1529776390,3,00:01:31,66.67%,$0.00,0,66.67%
288386816.1534810563,3,00:01:12,66.67%,$0.00,0,0.00%
289202707.1535554486,3,00:02:15,66.67%,$0.00,0,100.00%
290593861.1534271116,3,00:01:50,66.67%,$0.00,0,0.00%
290786151.1536783852,3,00:06:14,66.67%,$0.00,0,0.00%
291798793.1533476270,3,00:03:07,66.67%,$0.00,0,0.00%
293729849.1535477735,3,00:00:00,100.00%,$0.00,0,0.00%
295533871.1534026388,3,00:02:44,66.67%,$0.00,0,0.00%
296818574.1533120236,3,00:00:00,100.00%,$0.00,0,0.00%
297052233.1528191148,3,00:00:00,100.00%,$0.00,0,0.00%
297851114.1533703924,3,00:00:00,100.00%,$0.00,0,0.00%
297927591.1532673980,3,00:00:55,66.67%,$0.00,0,0.00%
298153634.1529370103,3,00:00:00,100.00%,$0.00,0,0.00%
301019212.1533111210,3,00:00:00,100.00%,$0.00,0,0.00%
301686240.1531406014,3,00:01:46,66.67%,$0.00,0,0.00%
30279888.1512914908,3,00:00:00,100.00%,$0.00,0,0.00%
303434208.1528382413,3,00:00:03,66.67%,$0.00,0,0.00%
304261732.1535386728,3,00:00:00,100.00%,$0.00,0,0.00%
304745969.1528899443,3,00:00:26,66.67%,$0.00,0,0.00%
304815323.1530696063,3,00:00:50,66.67%,$0.00,0,0.00%
304995927.1534254690,3,00:00:00,100.00%,$0.00,0,0.00%
305617238.1530665410,3,00:04:11,66.67%,$21.99,1,133.33%
306619070.1529358850,3,00:00:02,66.67%,$0.00,0,0.00%
307768824.1520941719,3,00:00:00,100.00%,$0.00,0,0.00%
307889462.1530919593,3,00:02:14,66.67%,$0.00,0,33.33%
308449508.1532523869,3,00:00:00,100.00%,$0.00,0,0.00%
308751462.1528375403,3,00:00:00,100.00%,$0.00,0,0.00%
309252365.1532869905,3,00:31:13,66.67%,$0.00,0,66.67%
31005628.1523653137,3,00:05:35,66.67%,$0.00,0,0.00%
310551418.1537447309,3,00:00:00,100.00%,$0.00,0,0.00%
310586706.1535422342,3,00:05:42,66.67%,$0.00,0,100.00%
311343385.1537297922,3,00:00:00,100.00%,$0.00,0,0.00%
312422421.1528728383,3,00:00:08,66.67%,$0.00,0,0.00%
